Time12/10/2015 17:46:18	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49176	TCP-Seq: 2225214939	Destination: [-48, 90, 107, 124]	TCP-Port-Dst: 49176	Captured Packet Length: 55	Original Packet Length: 55
Time12/10/2015 17:46:18	Source: [-48, 90, 107, 124]	TCP-Port-Src: 443	TCP-Seq: 1458679129	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 443	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:18	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65519	TCP-Seq: 1086172818	Destination: [104, 90, 7, -93]	TCP-Port-Dst: 65519	Captured Packet Length: 55	Original Packet Length: 55
Time12/10/2015 17:46:18	Source: [104, 90, 7, -93]	TCP-Port-Src: 443	TCP-Seq: 989800892	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 443	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:18	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49162	TCP-Seq: 3886122299	Destination: [-83, -62, 115, 57]	TCP-Port-Dst: 49162	Captured Packet Length: 55	Original Packet Length: 55
Time12/10/2015 17:46:18	Source: [-83, -62, 115, 57]	TCP-Port-Src: 443	TCP-Seq: 2282289985	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 443	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:18	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49183	TCP-Seq: 2832365214	Destination: [50, 31, -92, -83]	TCP-Port-Dst: 49183	Captured Packet Length: 55	Original Packet Length: 55
Time12/10/2015 17:46:18	Source: [-112, -89, -105, 96]	TCP-Port-Src: 49183	TCP-Seq: 2832365214	Destination: [-112, -89, -105, -1]	TCP-Port-Dst: 49183	Captured Packet Length: 58	Original Packet Length: 58
Time12/10/2015 17:46:18	Source: [50, 31, -92, -83]	TCP-Port-Src: 443	TCP-Seq: 3608523523	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 443	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:19	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49187	TCP-Seq: 20297527	Destination: [-48, 90, 108, 89]	TCP-Port-Dst: 49187	Captured Packet Length: 55	Original Packet Length: 55
Time12/10/2015 17:46:19	Source: [-48, 90, 108, 89]	TCP-Port-Src: 80	TCP-Seq: 2597310067	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:19	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49186	TCP-Seq: 2849556638	Destination: [23, -21, 44, -7]	TCP-Port-Dst: 49186	Captured Packet Length: 55	Original Packet Length: 55
Time12/10/2015 17:46:19	Source: [23, -21, 44, -7]	TCP-Port-Src: 80	TCP-Seq: 3913091656	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:19	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49166	TCP-Seq: 2495407358	Destination: [-40, 58, -38, 98]	TCP-Port-Dst: 49166	Captured Packet Length: 55	Original Packet Length: 55
Time12/10/2015 17:46:19	Source: [-40, 58, -38, 98]	TCP-Port-Src: 80	TCP-Seq: 3518426693	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:20	Source: [-112, -89, -108, -82]	TCP-Port-Src: 80	TCP-Seq: 3518426693	Destination: [-112, -89, -105, -1]	TCP-Port-Dst: 80	Captured Packet Length: 92	Original Packet Length: 92
Time12/10/2015 17:46:20	Source: [54, -31, -33, -106]	TCP-Port-Src: 80	TCP-Seq: 3760781800	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:20	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49188	TCP-Seq: 1446900565	Destination: [54, -31, -33, -106]	TCP-Port-Dst: 49188	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:20	Source: [-112, -89, -108, -82]	TCP-Port-Src: 49188	TCP-Seq: 1446900565	Destination: [-112, -89, -105, -1]	TCP-Port-Dst: 49188	Captured Packet Length: 58	Original Packet Length: 58
Time12/10/2015 17:46:21	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49188	TCP-Seq: 1446900565	Destination: [-112, -89, 5, 50]	TCP-Port-Dst: 49188	Captured Packet Length: 81	Original Packet Length: 81
Time12/10/2015 17:46:21	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49188	TCP-Seq: 1446900565	Destination: [-112, -89, 10, 1]	TCP-Port-Dst: 49188	Captured Packet Length: 81	Original Packet Length: 81
Time12/10/2015 17:46:21	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49188	TCP-Seq: 1446900565	Destination: [-112, -89, 10, 48]	TCP-Port-Dst: 49188	Captured Packet Length: 81	Original Packet Length: 81
Time12/10/2015 17:46:21	Source: [-112, -89, 10, 1]	TCP-Port-Src: 49188	TCP-Seq: 1446900565	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 49188	Captured Packet Length: 200	Original Packet Length: 200
Time12/10/2015 17:46:21	Source: [-112, -89, 10, 48]	TCP-Port-Src: 49188	TCP-Seq: 1446900565	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 49188	Captured Packet Length: 200	Original Packet Length: 200
Time12/10/2015 17:46:21	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49190	TCP-Seq: 2392016519	Destination: [-57, -75, -123, -63]	TCP-Port-Dst: 49190	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:21	Source: [31, 13, 80, 36]	TCP-Port-Src: 443	TCP-Seq: 3997922881	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 443	Captured Packet Length: 141	Original Packet Length: 141
Time12/10/2015 17:46:21	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876255248	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:21	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876256628	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:21	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876258008	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:21	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591748258	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:21	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49207	TCP-Seq: 2901230199	Destination: [31, 13, 80, 36]	TCP-Port-Dst: 49207	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:21	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876259388	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
